Kosakata,Makna,Mnemonik
aberrant,Abnormal; different from the accepted norm,A bear ant: Semut sebesar beruang itu jelas sangat abnormal.
abeyance,State of suspension; temporary inaction,Obey ants: Semua semut patuh (obey) untuk berhenti sejenak (inaction).
abscond,To sneak away,Absen konyol: Dia kabur diam-diam agar bisa memalsukan absen.
abstemious,"Indicative of self-denial, particularly with food/drink","Abs demi us: Demi perut abs (sixpack), kita harus menahan nafsu makan."
abstruse,Difficult to comprehend,Abs terus: Menjelaskan cara mendapat abs terus-menerus kadang sulit dipahami.
accessible,"Easy to understand, especially by a certain group",Akses: Sesuatu yang mudah diakses berarti mudah dimengerti/dijangkau.
acquiescent,Agreeing without protest,Acquiesce = Quiet: Setuju dengan diam (quiet) dan tanpa protes.
acrid,Bitter; harsh,Acid: Mirip asam (acid) yang rasanya pahit dan tajam.
acrimonious,"Bitter in temper, manner, and speech",A crime: Sebuah kejahatan (crime) memicu perdebatan yang pahit dan kasar.
acumen,Keenness; quickness of intellectual insight,IQ men: Pria dengan IQ tinggi memiliki kecerdasan dan ketajaman mental.
admonition,A gentle reproof,Add monitor: Menambah pengawasan sebagai bentuk teguran halus.
affect,(noun) Emotion that influences behavior,Efek: Emosi yang memberikan efek pada perilaku.
affront,"To deliberately offend, as with a gesture",In front: Menghina seseorang langsung di depan wajahnya.
aggrandize,To widen in scope or make bigger or greater,Grand: Membuat sesuatu menjadi lebih grand (besar/agung).
aggregate,Amounting to a whole,"Agregat: Dalam sepak bola, skor agregat adalah jumlah total."
allay,To reduce the intensity of,Alley: Bersembunyi di gang (alley) untuk meredakan ketakutan.
amalgamate,To mix or blend together in a homogenous body,Amalgam: Campuran logam gigi; artinya mencampur/menggabungkan.
ameliorate,To make better or improve,Amelia rate: Rating Amelia naik karena dia memperbaiki kinerjanya.
anachronous,Out of place in time,Ana + chrono: Chrono = waktu. Tidak sesuai dengan urutan waktu.
anecdote,A short account of an interesting incident,Anecdot: Cerita lucu/menarik (anekdot) singkat.
archipelago,A large group of islands,Archi (utama) + pelago (laut): Kumpulan pulau-pulau besar.
articulate,"Well-spoken, eloquent",Artikel: Berbicara sejelas tulisan di sebuah artikel.
artifice,Cleverness or skill,Artificial: Sesuatu yang buatan memerlukan kelicikan/keterampilan untuk menipu.
artless,Without deceit or cunning; sincere,"Art (tipu daya) + less: Tanpa tipu daya, sangat tulus/polos."
ascetic,Representative of severe self-denial,Aset: Meninggalkan semua aset duniawi untuk hidup sederhana/bertapa.
assiduous,"Persistent, unceasing","Ass in dust: Bekerja keras sampai duduk di debu, sangat gigih/tekun."
astute,Keen; wise,A student: Siswa (student) terbaik biasanya sangat cerdas/tajam.
audacious,"Fearless, bold",Audi: Mengendarai mobil Audi dengan kecepatan tinggi butuh orang yang berani/nekat.
augment,To increase in measure or intensity,Argumen: Berdebat membuat tensi meningkat.
austere,Unadorned; severely simple,Aussie tear: Pemandangan padang pasir Australia yang keras dan sangat sederhana.
avarice,Extreme greed and hoarding,A virus: Keserakahan (greed) menyebar seperti virus.
aver,To declare or profess,Verify: Menyatakan kebenaran (verify) dengan tegas.
banal,Trite; commonplace,Ban all: Melarang semua hal yang membosankan dan pasaran.
base,Simple and boring,Basic: Sesuatu yang sangat dasar (rendahan/sederhana).
belie,To present a false front,Be + lie: Menjadi pembohong (menutupi yang sebenarnya).
beset,"To surround, as in an attack",Be set: Pasukan sudah diatur (set) untuk mengepung.
blatant,"Very obvious, offensively loud",Blow tent: Angin meniup tenda dengan sangat jelas dan mencolok.
bolster,To support; to reinforce,Bantal guling: Bolster dalam bahasa Inggris adalah bantal guling yang menopang kita.
bombastic,Using inflated language; pompous,Bomb: Kata-katanya meledak-ledak seperti bom (muluk-muluk).
boon,A timely benefit; a blessing,Bonus: Mendapat berkah/keuntungan seperti bonus.
brevity,Briefness or conciseness,Brief: Sesuatu yang sangat singkat.
browbeat,To intimidate in an overbearing manner,Brow (alis) + beat: Mengerutkan alis untuk mengintimidasi/menggertak.
bumptious,Offensively self-assertive; pushy,Bump: Suka menabrak (bump) orang lain karena terlalu sombong/memaksa.
bungle,To perform clumsily or inadequately; botch,Bunglon: Bunglon yang salah warna berarti melakukan kesalahan bodoh/ceroboh.
burgeon,To grow forth; to send out buds,Burger: Makan burger terus membuat perut berkembang/membesar.
cacophony,"A disagreeable, harsh, or discordant sound",Kakatua + phone: Suara burung kakatua di telepon sangat bising/sumbang.
callous,Insensitive; indifferent,Kapalan: Kulit yang kapalan (callus) menjadi mati rasa/tidak sensitif.
calumniate,To make false and malicious statements about,Kolom niat: Menulis di kolom koran dengan niat memfitnah.
candor,The quality of being open and sincere,Kendor: Urat tegangnya kendor karena dia berbicara dengan jujur/terbuka.
cantankerous,Bad-tempered and uncooperative,"Tank: Orang ini mudah meledak seperti tank, sangat suka marah."
carp,To complain unreasonably,Ikan karper: Ikan yang mulutnya selalu terbuka seolah mengeluh terus.
chaos,A state of disorder and confusion,Kekacauan: (Kata serapan) Keadaan yang sangat kacau balau.
chicanery,"Trickery, deception",Chicken: Pengecut yang menggunakan kelicikan/tipuan untuk menang.
churl,"A rude, boorish, or surly person",Curl: Orang berambut keriting yang kasar/tidak sopan (hanya asosiasi visual).
coda,Concluding section of a musical/literary piece,Code: Menulis kode terakhir sebagai penutup program.
codify,To assemble related laws or principles,Kode: Mengumpulkan aturan menjadi sebuah sistem kode.
cognizant,Aware; taking notice,Recognize: Seseorang yang bisa mengenali berarti dia sadar/paham.
cohort,A companion or associate,Co-host: Teman atau rekan kerja dalam satu grup.
colloquial,Pertaining to common speech,Call lokal: Bahasa yang dipakai saat menelpon orang lokal (bahasa sehari-hari).
commensurate,"Corresponding in amount, quality, or degree","Common measure: Ukuran yang sama, berarti sebanding/setimpal."
complacency,A feeling of quiet security; satisfaction,Complete: Merasa sudah lengkap sehingga menjadi terlalu puas diri.
conciliatory,A state of seeking to reconcile or make peace,Konsiliasi: Usaha untuk melakukan perdamaian.
concrete,"Actual, irrefutable","Konkret: Nyata, seperti beton (fakta keras)."
confidante,One to whom secrets are confided,Confident: Orang yang membuat kita percaya diri untuk membagikan rahasia.
congruous,Appropriate or fitting,"Kongruen: Dalam matematika, kongruen berarti sama dan sebangun/sesuai."
consternation,Unsettling dismay or amazement,Monster nation: Negara diserang monster menimbulkan kepanikan luar biasa.
consummate,To bring to completion,Consume mate: Menyelesaikan makanan teman sampai tuntas/sempurna.
contentious,Quarrelsome,Contender: Penantang yang selalu suka berkelahi/berdebat.
contrite,"Penitent, apologetic","Count right: Menghitung yang benar setelah sadar berbuat salah, merasa menyesal."
contumacious,Rebellious,Continue macet: Terus membuat macet karena keras kepala/memberontak aturan.
cordial,Polite in a pleasant way,Sirup kordial: Rasanya manis dan ramah di tenggorokan.
corroborate,To make more certain; confirm,Co-robot: Robot lain datang untuk mengonfirmasi/mendukung temuan.
countenance,"Appearance, especially the look of the face",Count ten: Hitung sampai sepuluh untuk menjaga ekspresi wajah agar tidak marah.
counter,To go against or attempt to undermine,Counter-attack: Serangan balik untuk melawan.
counterpart,A person or thing resembling another,Bagian lain: Pasangan atau rekan sejawat.
craven,Cowardly,Cave in: Menyerah dan masuk gua karena pengecut.
credulity,Willingness to behave or trust too readily,"Kredit: Memberi kredit (kepercayaan) terlalu mudah, sangat gampang ditipu."
cronyism,The practice of favoring one’s friends,Kronisme: Mengistimewakan kelompok/kroni (nepotisme teman).
curmudgeon,An ill-tempered person,Kurma john: Si John marah-marah terus karena kurmanya dicuri (pemarah).
cursory,"Hasty, superficial",Kursor: Menggerakkan kursor komputer dengan cepat dan sekilas saja.
dearth,An inadequate supply; scarcity; lack,Death earth: Bumi mati karena kekurangan air.
debacle,A complete collapse or failure,"Di-bakar: Rencananya hangus dibakar, sebuah kegagalan total."
decorum,Orderliness and good taste in manners,Dekor: Mendekorasi ruangan agar terlihat sopan dan pantas.
deferent,In a state of giving in out of respect,Defer: Menunda keputusan sendiri demi menghormati orang lain.
deleterious,"Hurtful, morally or physically",Delete: Virus yang menghapus data sangat merugikan/berbahaya.
delineate,To represent by sketch or precisely in words,Line (garis): Menggambar garis untuk menjelaskan secara rinci.
depravity,The state of being morally bad or evil,Deprive: Dicabut moralnya sehingga menjadi jahat/korup.
deride,To ridicule; to make fun of,Di-ride: Dinaiki/dijadikan kuda-kudaan sebagai bentuk ejekan.
derision,Ridicule,Deride (noun): Tindakan pengejekan.
derivative,Something obtained/developed from a source,Derivatif: Kata turunan; sesuatu yang meniru/berasal dari sumber lain.
desultory,Aimless; haphazard,"De-story: Cerita yang melompat-lompat, tidak terarah."
diatribe,Bitter or malicious criticism,Die tribe: Mengancam sebuah suku mati lewat kritikan/kecaman tajam.
didactic,For the purpose of teaching,Dikte: Mendikte seseorang karena niatnya menggurui/mengajar.
diffidence,Lacking confidence,"Di + confidence: Dikurangi kepercayaannya, merasa ragu/malu-malu."
dilatory,Causing delay,Delay story: Membuat cerita panjang lebar hanya untuk menunda-nunda.
disconcert,To disturb the composure of,Dis-concert: Konser yang batal membuat penonton bingung/kacau.
discretion,Using one’s own judgment; being discreet,Diskresi: Kebebasan untuk menilai dan bertindak hati-hati.
disingenuous,"Insincere, phony",Dis (tidak) + genuine (asli): Tidak asli alias tidak tulus/munafik.
disquiet,"Lack of calm, peace, or ease",Dis (tidak) + quiet (tenang): Perasaan gelisah/tidak tenang.
dissemble,To disguise or pretend,Dis-assemble: Membongkar wajah asli untuk berpura-pura.
dissolution,Breaking up of a union of persons,"Dissolve: Gula larut/hancur di air, artinya pembubaran."
dissonant,"Out of harmony, incongruous",Dis (tidak) + sonata (lagu): Musik yang sumbang/tidak harmonis.
divergent,Deviating from a certain course,Divergen: Bergerak ke arah yang berbeda (menyimpang).
divest,To strip; to deprive,"Di-vest: Melepaskan rompi (vest), artinya mencabut hak/harta."
divulge,To tell or make known secret,Di-vulgar: Membuat rahasia menjadi vulgar/umum (membocorkan).
doctrinaire,Fanatical about enforcing a certain principle,Doktrin: Orang yang memaksakan doktrin/teori tanpa melihat realita.
dogmatic,Forceful and unwavering,Dogma: Percaya buta pada dogma secara kaku dan mutlak.
doldrums,A state of inactivity or low spirits,"Dull drums: Bermain drum dengan bosan, sedang dalam kelesuan/kesedihan."
dubious,Doubtful,Doubt: Sangat meragukan.
dupe,Someone who’s easily fooled; to fool someone,Duplikat: Diberi barang duplikat sehingga dia tertipu.
duplicity,Deceitfulness,"Duplicate face: Orang bermuka dua, penuh kelicikan/penipuan."
ebullient,Showing great enthusiasm or exhilaration,Red Bull: Minum Red Bull membuatnya sangat antusias/bersemangat.
eclectic,Drawn from multiple sources or styles,Koleksi: Mengoleksi dari berbagai macam sumber/gaya.
efficacious,Capable of producing the intended result,Efektif: Sesuatu yang manjur/mujarab.
efficacy,Power to produce an intended effect,Efektivitas: Kemanjuran.
effrontery,Shameless boldness; impudence,In front: Melakukan hal memalukan di depan (in front) umum karena bermuka badak.
egregious,Seriously bad or wrong,Egg regions: Melempar telur ke satu daerah karena kesalahan yang sangat parah.
egress,Exit,Ex + progress: Bergerak keluar (pintu keluar).
elegy,A poem lamenting the dead,"Allergy: Alergi parah sampai meninggal, lalu dibuatkan puisi kematian/ratapan."
elicit,To extract (information/reaction),Explicit: Memancing agar informasi keluar secara eksplisit (memancing respons).
elitism,Pride in belonging to a select group,Elit: Merasa dari golongan elit.
embellish,To beautify or enhance,Bell: Menempelkan lonceng agar terlihat lebih indah/berhias.
empirical,Proven by observed occurrence or existence,Empire: Kerajaan dibangun berdasarkan bukti nyata (empiris/terbukti).
emulate,Imitate,"Emulator: Software peniru, artinya meniru untuk menyamai."
endemic,Characteristic of a specific place or culture,Endemi: Penyakit/hal yang khas di daerah tertentu.
enervate,To weaken,"Energy vaporate: Energinya menguap, sehingga dia melemah."
engender,To produce or to make something come into existence,"Gender: Melahirkan gender baru, artinya menimbulkan/menghasilkan."
enigmatic,"Mysterious, perplexing","Enigma: Mesin sandi perang dunia, sangat penuh misteri."
ennui,Boredom,Annoy: Sangat mengganggu (annoying) sampai menimbulkan kebosanan luar biasa (kebosanan akut).
ephemeral,Short-lived; fleeting,Fame: Kepopuleran (fame) itu hanya sesaat/tidak abadi.
equable,Free from many changes or variations,"Equal: Selalu sama/setara, karakternya tenang dan stabil."
equanimity,Evenness of mind or temper,"Equal mind: Pikiran yang seimbang, penuh ketenangan batin."
equivocal,Ambiguous,Equal vocal: Dua suara (vocal) berbicara bersamaan jadi terdengar ambigu/bermakna ganda.
equivocate,To use ambiguous expressions to mislead,Vocal: Berbicara secara ambigu/berkelit.
eradicate,To destroy completely,Erase: Menghapus sampai bersih (membasmi tuntas).
erudite,Very well-educated,Educated: Terdengar seperti orang yang sangat terpelajar/berilmu.
eschew,"To keep clear of, avoid","Ah-choo!: Mendengar orang bersin, kita langsung menghindar/menjauh."
esoteric,Hard to understand; known only by a few,Isolasi: Hanya dipahami oleh kelompok yang terisolasi (sulit dipahami umum).
euphemism,A nice way of saying something unpleasant,Eufemisme: Penghalusan bahasa.
exacerbate,To make sharper or more severe; to make worse,Extra bad: Membuat situasi menjadi ekstra buruk (memperparah).
exculpate,To free from blame,Ex (keluar) + culprit (tersangka): Mengeluarkan dari status tersangka (membebaskan dari tuduhan).
exigency,Urgent situation,Exit agency: Biro pintu darurat untuk keadaan mendesak.
expatiate,To speak or write at some length,"Expand: Memperluas cerita, berbicara panjang lebar."
expiation,The means by which atonement is made,Ex-pirate: Mantan bajak laut melakukan penebusan dosa.
extenuating,Explaining/justifying to lessen seriousness,Ten: Turun dari hukuman berat ke level sepuluh (ten) karena alasan meringankan.
extirpate,To root out; to eradicate,Ex + terminate: Menyingkirkan akar-akarnya (membasmi tuntas).
extrapolation,To infer an unknown from something known,Ekstrapolasi: Menarik kesimpulan dari tren yang ada.
facetious,Not intended to be taken seriously,"Face: Wajah bercanda, tidak serius/main-main."
facilitate,To make easier,Fasilitas: Memberikan fasilitas untuk memudahkan.
fallacious,Illogical,False: Sesuatu yang salah/sesat.
fatuous,Idiotic,"Fat head: Berotak tumpul, sangat bodoh/konyol."
felicitous,Appropriate or suitable,Felicities (kebahagiaan): Pilihan kata yang tepat sehingga membahagiakan/sangat pas.
ferret out,"To track down, discover",Musang (ferret): Musang ahli menggali untuk melacak/menemukan.
fervor,Ardor or intensity of feeling,"Fever: Panas seperti demam, menunjukkan semangat menyala-nyala."
fledgling,Inexperienced,"Fledge: Burung yang baru belajar terbang, masih pemula."
foment,To instigate or encourage negative behavior,"Foam: Menambahkan busa pada api agar meledak, menghasut."
forestall,To prevent by taking action in advance,Fore (sebelum) + stall: Menghentikan sebelum terjadi (mencegah).
fortification,The act of strengthening,Fort: Membangun benteng (fort) untuk perkuatan.
frugal,Thrifty,Free gal: Gadis yang suka barang gratisan karena hemat/irit.
fulminate,To cause to explode; to detonate,Full mine: Tambang penuh bahan peledak yang siap meledak/mengecam keras.
fumble,To feel or grope about clumsily,Tumble: Jatuh tersandung lalu meraba-raba dengan canggung.
gaffe,A social blunder; faux pas,Laugh: Diketawakan (laugh) karena melakukan kesalahan bodoh/memalukan.
gainsay,To contradict or oppose,Against + say: Berbicara melawan (menyangkal/membantah).
garrulous,Prone to trivial talking,Gary rules: Si Gary banyak bicara kalau soal aturan (cerewet).
generosity,The state of giving freely,Generous: Sikap kedermawanan.
germane,Relevant,"German: Membahas mobil, sebut mobil Jerman karena sangat relevan."
goad,To urge on,"Goat: Mendorong kambing (goat) agar jalan, memprovokasi/mendesak."
grandiloquent,Speaking in a lofty style,Grand + eloquent: Berbicara dengan gaya terlalu agung (muluk-muluk).
grandstand,To conduct oneself showily,Grand stand: Berdiri di panggung utama untuk pamer/mencari perhatian.
gregarious,Sociable; outgoing,Greg: Si Greg sangat suka bergaul (suka berteman/sosial).
grouse,To complain or grumble,Gross: Menganggap sesuatu gross (menjijikkan) lalu menggerutu/mengeluh.
guileless,Without deceit,"Guile (kelicikan) + less: Tanpa kelicikan, sangat polos/jujur."
gullible,Easily deceived,Gull: Burung camar yang gampang ditangkap (mudah ditipu).
halcyon,Calm,"Helikopter turun: Setelah helikopter turun, suasana kembali tenang dan damai."
haphazard,Lack of order or planning,Happen + hazard: Terjadi sembarangan membawa bahaya (serampangan).
harangue,A tirade,Anger: Berpidato panjang lebar dengan nada marah (pidato kecaman).
harbinger,An omen; makes known the coming of something,Bringer: Pembawa berita/pertanda (pertanda awal).
hedge,A barrier; preventing complete loss,Pagar tanaman: Melindungi nilai investasi (lindung nilai).
heresy,Opinion subversive of accepted beliefs,Here say: Mengatakan sesuatu di luar kitab suci (ajaran sesat/bidah).
homogeneous,Of the same kind,Homo (sama): Berjenis sama/seragam.
hyperbole,Exaggeration or overstatement,Hiperbola: Majas melebih-lebihkan.
iconoclast,A person who attacks accepted beliefs,Icon + clash: Menghancurkan (clash) ikon/tradisi (penentang tradisi).
ignominious,"Shameful, disgraceful",Ignore us: Kita diabaikan karena perbuatan kita memalukan/hina.
imbroglio,"Entanglement, as in a situation","In broil: Berada dalam air mendidih, situasi yang rumit/kacau."
immense,Very large,Immense: Sangat besar.
impartial,"Objective, open-minded",Im (tidak) + partial (memihak): Tidak memihak/adil.
impecunious,Having no money; broke,Im (tidak) + coin: Tidak punya koin (miskin/bokek).
impede,To hinder; to block,Im (tidak) + ped (kaki): Menahan langkah kaki (menghambat).
impenitent,Not feeling regret about one’s sins,Im (tidak) + penitent (menyesal): Tidak menyesal.
imperious,"Domineering, overbearing; urgent",Emperor: Bertingkah layaknya kaisar yang suka memerintah/sombong.
imperturbable,Calm,"Im (tidak) + perturb (ganggu): Tidak bisa diganggu, sangat tenang."
impervious,Impenetrable,Im (tidak) + pierce: Tidak bisa ditembus (kebal/kedap).
impetuous,Impulsive,Pet: Bertindak seperti hewan peliharaan yang impulsif/gegabah.
implicit,Implied,Implisit: Tersirat.
importune,To harass with persistent demands,Import: Meminta barang impor terus-menerus (mendesak secara mengganggu).
impugn,To challenge as false with arguments,Pug (anjing): Anjing pug menggonggong untuk menentang/membantah.
inadvertently,Unintentionally,"In + advert: Tidak melihat iklan tersebut, terlewat secara tidak sengaja."
inane,Stupid or idiotic,"Insane: Kurang huruf 's', idenya konyol dan bodoh/hampa."
incensed,Angered,"Incense (dupa): Terbakar seperti dupa, sangat marah."
inchoate,"Recently begun, not fully developed","Inch: Baru berkembang satu inci, baru mulai/belum sempurna."
inconstant,Changeable; fickle; variable,Tidak konstan: Berubah-ubah/plin-plan.
indigenous,Originating in a particular place,"Indian: Penduduk asli Amerika, artinya asli/pribumi."
indigent,Lacking necessities,India gent: Pria miskin di pinggir jalan India (miskin/melarat).
indolence,Laziness,Indo + lens: Seharian cuma lihat lensa (HP/TV) karena malas.
ineffable,Incapable of being expressed in words,In (tidak) + fable (cerita): Tidak bisa diceritakan (tak terlukiskan dengan kata).
inert,Inactive; lacking power to move,"Gas lembam: Gas inert dalam kimia tidak bereaksi, tidak aktif."
inexorable,Not subject to change; not able to be persuaded,In + exhaust: Tenaganya tidak habis-habis menolak kita (tidak bisa diubah/tak terhentikan).
ingenuous,"Innocent, sincere","Genuine: Sangat tulus, lugu, dan polos."
ingratiating,"Charming, agreeable",Gratitude: Mengambil hati dengan berpura-pura baik (menjilat/mencari muka).
innocuous,Harmless,Innocent: Sesuatu yang polos dan tidak berbahaya.
insensible,Incapable of perceiving or feeling,"In + sense: Tidak punya indera perasa, mati rasa/tidak peka."
insinuate,To suggest or hint slyly,In (dalam) + sin (dosa): Menuduh berdosa secara diam-diam (menyindir/mengisyaratkan).
insipid,Bland,"Sip: Sedotan (sip) teh ini rasanya hambar, tidak ada rasanya."
insouciant,Free from worry or concern; carefree,"In + social: Tidak peduli norma sosial, sangat santai/tanpa beban."
intimation,Something indicated or made known indirectly,Intimate: Memberi kode rahasia pada teman dekat (isyarat/petunjuk halus).
intrepid,Fearless and bold,In (tidak) + trap: Tidak takut masuk perangkap (sangat berani).
inure,To harden or toughen by use/exposure,"In + your: Sudah biasa di kulitmu (your), jadi terbiasa/kebal (pada hal buruk)."
invidious,Showing or feeling envy,Envy: Menyebabkan rasa iri/kebencian.
irascible,Easily angered,Erase: Ingin menghapus (memukul) orang karena mudah marah.
ironic,Convey the opposite of an expression’s literal meaning,Ironi: Hal yang berkebalikan dari yang diharapkan.
itinerant,Travelling from place to place,Itinerary: Orang yang jadwal turnya pindah-pindah (nomaden/berkeliling).
jingoism,Professing patriotism loudly and excessively,Jingle: Menyanyikan jingle negara secara ekstrem (nasionalisme berlebihan).
killjoy,A person who spoils the joy,Kill joy: Perusak suasana/kegembiraan.
laconic,Brief and to the point; concise,"Lack (kurang): Kurang kata-kata, berbicara singkat/padat."
lampoon,To make fun of; mock,Baboon: Menyindir orang mirip babun (mengejek melalui tulisan/karikatur).
latent,Dormant,"Laten: Bahaya laten, ada tapi tersembunyi (terpendam/belum aktif)."
laud,To praise,Loud: Memuji dengan suara keras (loud) (memuji).
laudable,Praiseworthy,Laud + able: Patut dipuji.
licentious,Unrestrained by laws or rules (sexually),License: Menganggap punya lisensi untuk melanggar aturan moral (amoral/bebas).
liken,To represent as similar,Like: Menyamakan seperti (like) sesuatu (membandingkan/menyamakan).
loquacious,Talkative,Lokal: Orang lokal yang suka ngobrol (sangat cerewet).
lucid,Easily understood; clear,Lucid dream: Mimpi yang sangat jelas dan jernih.
lugubrious,"Gloomy, depressing","Lugu + baring: Terbaring karena menangis, sangat muram/menyedihkan."
